name,type,start_time,duration,"value"
"USB LS and FS","v1frame",0.502857792,0.00000025,"EOP"
"USB LS and FS","v1frame",0.502858417,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.502859083,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.50285975,0.00000025,"EOP"
"USB LS and FS","v1frame",0.502860583,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.50286125,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.502861917,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.502862833,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.50286325,0.00000025,"EOP"
"USB LS and FS","v1frame",0.502863917,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.502864583,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.50286525,0.00000025,"EOP"
"USB LS and FS","v1frame",0.503730042,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.503730708,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.503731375,0.000001,"Frame # 0x7F8"
"USB LS and FS","v1frame",0.503732375,0.000000417,"CRC OK 0x07"
"USB LS and FS","v1frame",0.503732792,0.00000025,"EOP"
"USB LS and FS","v1frame",0.5038555,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.503856167,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.503856833,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.50385775,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.503858167,0.00000025,"EOP"
"USB LS and FS","v1frame",0.503858833,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.5038595,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.503860167,0.00000025,"EOP"
"USB LS and FS","v1frame",0.503861,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.503861667,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.503862333,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.50386325,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.503863667,0.00000025,"EOP"
"USB LS and FS","v1frame",0.503864292,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.503864958,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.503865625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.503866458,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.503867125,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.503867792,0.000000917,"Address=0x03 Endpoint=0x01"
"USB LS and FS","v1frame",0.503868708,0.000000417,"CRC OK 0x1C"
"USB LS and FS","v1frame",0.503869125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.504730292,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.504730958,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.504731625,0.000001,"Frame # 0x7F9"
"USB LS and FS","v1frame",0.504732625,0.000000417,"CRC OK 0x18"
"USB LS and FS","v1frame",0.504733042,0.00000025,"EOP"
"USB LS and FS","v1frame",0.504855667,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.504856333,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.504857,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.504857917,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.504858333,0.00000025,"EOP"
"USB LS and FS","v1frame",0.504859042,0.000000625,"SYNC"
"USB LS and FS","v1frame",0.504859667,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.504860333,0.00000025,"EOP"
"USB LS and FS","v1frame",0.504861208,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.504861875,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.504862542,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.504863458,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.504863875,0.000000208,"EOP"
